,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,HOUSE_PRICE
157274,018-771-823,STRATA,830203260003,83020326,I-2,Light Industrial,3,,LMS1426,313,103,610.0,MARINE DR SE,V5X 2T4,LOT 3  PLAN LMS1426  DISTRICT LOT 3,13  NEW WESTMINSTER UNDIV 257/1365 ,SHARE IN COM PROP THEREIN.,,,1077000.0,195000.0,2020.0,954000.0,201000.0,1994.0,1994.0,,18,1.272
188214,018-544-169,STRATA,603118890056,60311889,RM-5B,Multiple Family Dwelling,56,,LMS1153,185,1501,1111.0,HARO ST,V6E 1E3,LOT 56  PLAN LMS1153  DISTRICT LOT ,185  NEW WESTMINSTER UNDIV 979/6057,4 SHARE IN COM PROP THEREIN.,,,659000.0,293000.0,2020.0,728000.0,297000.0,1994.0,1994.0,,27,0.952
77601,025-219-634,STRATA,135826400001,13582640,RT-2,Two Family Dwelling,1,,LMS4586,324,,8480.0,CARTIER ST,V6P 4T8,LOT 1  PLAN LMS4586  DISTRICT LOT 3,"24  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,858000.0,275000.0,2020.0,1005000.0,258000.0,2001.0,2001.0,,12,1.133
59076,030-359-384,STRATA,640179070014,64017907,CD-1 (531),Comprehensive Development,14,,EPS4489,200A,307,1788.0,COLUMBIA ST,V5Y 0L7,LOT 14  PLAN EPS4489  DISTRICT LOT ,"200A  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,388000.0,308000.0,2020.0,492000.0,310000.0,2017.0,2017.0,,13,0.696
155336,013-784-404,LAND,237716700000,23771670,RS-1,One Family Dwelling,24,7,VAP2414,352,,4510.0,PERRY ST,V5N 3X5,LOT 24  BLOCK 7  PLAN VAP2414  DIST,"RICT LOT 352  NWD OF LOTS 19 TO 22,", & BLKS 9 & 11.,,,1091000.0,277000.0,2020.0,1286000.0,259000.0,1999.0,1999.0,,19,1.368
132074,029-593-999,STRATA,645190710031,64519071,IC-3,Light Industrial,31,29,EPS2878,200A,310,289.0,6TH AVE E,V5T 0E9,LOT 31  BLOCK 29  PLAN EPS2878  DIS,"TRICT LOT 200A  NWD GROUP 1, TOGETH",ER WITH AN INTEREST IN THE COMMON P,ROPERTY IN PROPORTION TO THE UNIT E,NTITLEMENT OF THE STRATA LOT AS SHO,369000.0,144000.0,2020.0,423000.0,144000.0,2015.0,2015.0,,13,0.513
66770,004-181-697,LAND,678042870000,67804287,RS-5,One Family Dwelling,9,74,VAP2581,540,,3429.0,12TH AVE W,V6R 2N2,LOT 9  BLOCK 74  PLAN VAP2581  DIST,RICT LOT 540  NEW WESTMINSTER,,,,1835000.0,133000.0,2020.0,2090000.0,121000.0,1986.0,1986.0,,2,1.968
157317,002-801-736,LAND,794250390000,79425039,RS-1,One Family Dwelling,C,1,20657,725,,2059.0,51ST AVE E,V5P 1W2,LOT C  BLOCK 1  PLAN 20657  DISTRIC,T LOT 725  NEW WESTMINSTER,,,,1170000.0,174000.0,2020.0,1380000.0,175000.0,1986.0,1986.0,,24,1.344
127941,017-921-023,STRATA,306715340016,30671534,RM-4N,Multiple Family Dwelling,16,,LMS540,,306,4950.0,JOYCE ST,V5R 4G6,LOT 16  PLAN LMS540  NEW WESTMINSTE,"R DISTRICT LOT 36 & 51, UNDIV 66/14",12 SHARE IN COM PROP THEREIN.,,,339000.0,126000.0,2020.0,388000.0,129000.0,1992.0,1992.0,,23,0.465
158108,010-507-990,LAND,307759840000,30775984,RS-1,One Family Dwelling,30,2,VAP7061,338,,6190.0,DOMAN ST,V5S 3G6,LOT 30  BLOCK 2  PLAN VAP7061  DIST,"RICT LOT 338  NWD PART NE 1/4, AMD ",(SEE 203059L).,,,1301000.0,350000.0,2020.0,1589000.0,325000.0,2002.0,2002.0,,24,1.651
134530,012-049-255,LAND,736237420000,73623742,RS-1,One Family Dwelling,8,4,VAP3889,,,1742.0,36TH AVE E,V5P 1C5,LOT 8  BLOCK 4  PLAN VAP3889  NEW W,ESTMINSTER DISTRICT LOT 703 W HLF.,,,,1124000.0,307000.0,2020.0,1275000.0,294000.0,2006.0,2006.0,,19,1.431
158800,028-248-171,STRATA,184634950148,18463495,CD-1 (454),Comprehensive Development,148,,BCS3859,FC,710,1633.0,ONTARIO ST,V5Y 0C2,"STRATA LOT 148, PLAN BCS3859, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,610000.0,201000.0,2020.0,651000.0,202000.0,2009.0,2009.0,,13,0.811
47568,014-363-631,LAND,743195830000,74319583,RS-1,One Family Dwelling,18,5,VAP1725,639,,383.0,39TH AVE E,V5W 1K3,LOT 18  BLOCK 5  PLAN VAP1725  DIST,"RICT LOT 639  NWD GROUP 1, EXC THE ","N 2', NOW LANE.",,,1298000.0,65000.0,2020.0,1505000.0,66400.0,1965.0,1970.0,,16,1.363
71309,006-463-096,STRATA,607117660012,60711766,RM-5B,Multiple Family Dwelling,12,,VAS1397,185,302,1230.0,COMOX ST,V6E 1K7,LOT 12  PLAN VAS1397  DISTRICT LOT ,185  NEW WESTMINSTER UNDIV 526/1987,5 SHARE IN COM PROP THEREIN.,,,305000.0,135000.0,2020.0,335000.0,138000.0,1984.0,1984.0,,27,0.44
150821,013-904-442,LAND,235726250000,23572625,RS-1,One Family Dwelling,23,1,VAP2318,705,,4725.0,DUMFRIES ST,V5N 3T7,LOT 23  BLOCK 1  PLAN VAP2318  DIST,RICT LOT 705  NEW WESTMINSTER,,,,1061000.0,62800.0,2020.0,1251000.0,61400.0,1946.0,1995.0,,19,1.1238
210778,025-904-388,STRATA,305810620016,30581062,CD-1 (68),Comprehensive Development,16,,BCS768,334,,3271.0,CLERMONT MEWS,V5S 4X3,LOT 16  PLAN BCS768  DISTRICT LOT 3,34  NEW WESTMINSTER UNDIV 131/4679 ,SHARE IN COM PROP THEREIN.,,,714000.0,255000.0,2020.0,773000.0,257000.0,2004.0,2004.0,,25,0.969
65770,027-924-530,STRATA,172595030332,17259503,CD-1 (265),Comprehensive Development,332,,BCS3437,,2901,188.0,KEEFER PL,V6B 0J1,LOT 332  PLAN BCS3437  NWD DISTRICT," LOT FALSE CREEK, GROUP 1, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,656000.0,185000.0,2020.0,746000.0,185000.0,2009.0,2009.0,,26,0.841
47300,023-119-390,STRATA,640194940112,64019494,IC-3,Light Industrial,112,,LMS2039,200A,512,350.0,2ND AVE E,V5T 4R8,"STRATA LOT 112, PLAN LMS2039, DISTR","ICT LOT 200A, NEW WESTMINSTER LAND ","DISTRICT, TOGETHER WITH AN INTEREST", IN THE COMMON PROPERTY IN PROPORTI,ON TO THE UNIT ENTITLEMENT OF THE S,766000.0,209000.0,2020.0,780000.0,214600.0,1995.0,1995.0,,13,0.975
13923,012-742-082,LAND,818124410000,81812441,RS-1,One Family Dwelling,25,1,VAP3563,325,,1565.0,63RD AVE W,V6P 2H5,LOT 25  BLOCK 1  PLAN VAP3563  DIST,RICT LOT 325  NEW WESTMINSTER,,,,1558000.0,314000.0,2020.0,1800000.0,305000.0,1995.0,1995.0,,12,1.872
165459,014-792-940,LAND,315715560000,31571556,RS-1,One Family Dwelling,24,8,VAP1386,36,,5180.0,ABERDEEN ST,V5R 4M3,LOT 24  BLOCK 8  PLAN VAP1386  DIST,"RICT LOT 36  NWD & BLK 9, 57, 57 & ",DL 51.,,,1068000.0,13500.0,2020.0,1268000.0,13100.0,1946.0,1946.0,,23,1.0815
116241,010-858-458,LAND,75794970000,7579497,RS-5,One Family Dwelling,12,5,VAP6613,315,,6727.0,MARINE CRES,V6P 5X2,LOT 12  BLOCK 5  PLAN VAP6613  DIST,RICT LOT 315  NEW WESTMINSTER,,,,2755000.0,1900000.0,2020.0,3271000.0,1960000.0,2011.0,2012.0,,6,4.655
40445,010-035-893,LAND,153790330000,15379033,RS-1,One Family Dwelling,7,79,VAP8550,526,,6561.0,LAUREL ST,V6P 3T4,LOT 7  BLOCK 79  PLAN VAP8550  DIST,RICT LOT 526  NWD GROUP 1.,,,,2660000.0,50700.0,2020.0,2981000.0,48400.0,1953.0,1960.0,,11,2.7107
27769,004-387-562,LAND,631280610000,63128061,RS-1,One Family Dwelling,27,57,VAP4529,THSL,,2967.0,2ND AVE E,V5M 1E6,LOT 27  BLOCK 57  SECTION 31  PLAN ,VAP4529  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1171000.0,29100.0,2020.0,1321000.0,28300.0,1953.0,1953.0,,21,1.2001
175779,023-225-831,STRATA,116573940272,11657394,CD-1 (259),Comprehensive Development,272,,LMS2064,185,1205,555.0,JERVIS ST,V6E 4N1,"STRATA LOT 272, PLAN LMS2064, DISTR","ICT LOT 185, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, & OF THE PUBLIC H","ARBOUR OF BURRARD INLET, TOGETHER W",ITH AN INTEREST IN THE COMMON PROPE,597000.0,156000.0,2020.0,656000.0,158000.0,1995.0,1995.0,,26,0.753
134088,015-280-420,LAND,230646390000,23064639,RM-4N,Multiple Family Dwelling,13,112,VAP442,264A,,2345.0,CLARK DR,V5N 3H2,LOT 13  BLOCK 112  DISTRICT LOT 264,A  NEW WESTMINSTER PLAN VAP442 & 17,"71, GROUP 1, EXCEPT FIRSTLY THE WES","T 10 FT, NOW LANE, SECONDLY PART IN"," PL 4094, THIRDLY; PART IN PL BCP 1",994000.0,56200.0,2020.0,1119000.0,57200.0,1960.0,1970.0,,13,1.0502
24042,008-445-516,LAND,739034740000,73903474,RS-5,One Family Dwelling,3,21,VAP7032,2027,,3830.0,37TH AVE W,V6N 2W3,LOT 3  BLOCK 21  PLAN VAP7032  DIST,"RICT LOT 2027  NWD PART E 1/2, GROU",P 1.,,,4201000.0,109000.0,2020.0,5172000.0,119000.0,1927.0,1960.0,,3,4.31
209601,013-245-911,LAND,643020060000,64302006,RS-1,One Family Dwelling,1,144,VAP3013,540,,4692.0,6TH AVE W,V6R 1V7,LOT 1  BLOCK 144  PLAN VAP3013  DIS,TRICT LOT 540  NWD OF LOT 1.,,,,1833000.0,607000.0,2020.0,2143000.0,588000.0,2006.0,2006.0,,1,2.44
104714,029-915-112,STRATA,589186860055,58918686,HA-2,Historic Area,55,9,EPS3663,196,908,150.0,CORDOVA ST E,V6A 0E7,LOT 55  BLOCK 9  PLAN EPS3663  DIST,"RICT LOT 196  NWD GROUP 1, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,299000.0,139000.0,2020.0,345000.0,139000.0,2016.0,2016.0,,26,0.438
79257,015-653-820,LAND,646250470000,64625047,RT-5,Two Family Dwelling,26,153,VAP222,264A,,1801.0,7TH AVE E,V5N 1S1,LOT 26  BLOCK 153  PLAN VAP222  DIS,TRICT LOT 264A  NWD EXC THE EAST 10," FEET, THE WEST 10 FEET & THE NORTH"," 5 FEET NOW LANE, PL 1771.",,1377000.0,33200.0,2020.0,1520000.0,32300.0,1952.0,1952.0,,14,1.4102
156188,023-682-990,STRATA,690150560031,69015056,RM-4,Multiple Family Dwelling,31,,LMS2700,472,305,962.0,16TH AVE W,V5Z 1T2,LOT 31  PLAN LMS2700  DISTRICT LOT ,472  NEW WESTMINSTER UNDIV 83/2716 ,SHARE IN COM PROP THEREIN.,,,612000.0,174000.0,2020.0,707000.0,178000.0,1997.0,1997.0,,9,0.786
63796,010-749-101,LAND,692067940000,69206794,RS-1,One Family Dwelling,7,5,VAP6955,139,,2802.0,18TH AVE W,V6L 1B6,LOT 7  BLOCK 5  PLAN VAP6955  DISTR,"ICT LOT 139  NWD GROUP 1, OF LOTS 3", & 4.,,,1929000.0,439000.0,2020.0,2188000.0,484000.0,2005.0,2006.0,,4,2.368
173442,019-156-022,LAND,690041220000,69004122,RS-5,One Family Dwelling,E,28,LMP21635,139,,3564.0,16TH AVE W,V6R 3C1,LOT E  BLOCK 28  PLAN LMP21635  DIS,TRICT LOT 139  NEW WESTMINSTER,,,,1440000.0,336000.0,2020.0,1628000.0,369000.0,1996.0,1996.0,,3,1.776
37040,011-541-351,LAND,710120950000,71012095,FSD,Comprehensive Development,5,28,VAP4502,526,,3989.0,ANGUS DR,V6J 4H8,LOT 5  BLOCK 28  PLAN VAP4502  DIST,RICT LOT 526  NEW WESTMINSTER,,,,2944000.0,1884000.0,2020.0,3803000.0,1763000.0,1918.0,2012.0,,8,4.828
68802,027-001-032,STRATA,601108930037,60110893,RM-6,Multiple Family Dwelling,37,,BCS2243,185,802,1925.0,ALBERNI ST,V6G 0A3,LOT 37  PLAN BCS2243  DISTRICT LOT ,185  NEW WESTMINSTER GROUP 1.,,,,1766000.0,318000.0,2020.0,2029000.0,319000.0,2007.0,2007.0,,27,2.084
78998,030-606-594,STRATA,770266080349,77026608,CD-1 (556),,349,,EPS5134,393,1203,2220.0,KINGSWAY,V5N 0G4,"STRATA LOT 349, PLAN EPS5134, DISTR","ICT LOT 393, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,326000.0,155000.0,2020.0,316000.0,155000.0,2018.0,2018.0,,23,0.481
111687,029-814-740,STRATA,170825960077,17082596,CD-1 (535),Comprehensive Development,77,,EPS3173,311,1208,8131.0,NUNAVUT LANE,V5X 0E2,LOT 77  PLAN EPS3173  DISTRICT LOT ,"311  NWD GROUP 1, & DL 323, TOGETHE",R WITH AN INTEREST IN THE COMMON PR,OPERTY IN PROPORTION TO THE UNIT EN,TITLEMENT OF THE STRATA LOT AS SHOW,467000.0,269000.0,2020.0,606000.0,269000.0,2016.0,2016.0,,12,0.736
34322,010-080-759,LAND,320585150000,32058515,RS-1,One Family Dwelling,19,27,VAP4152,THSL,,21.0,BOUNDARY RD,V5K 4R4,LOT 19  BLOCK 27  PLAN VAP4152  DIS,TRICT LOT THSL  NWD GROUP 1.,,,,1268000.0,26400.0,2020.0,1377000.0,27000.0,1930.0,1930.0,,20,1.2944
81818,024-520-578,STRATA,612157030078,61215703,CD-1 (324),Comprehensive Development,78,,LMS3903,FC,1701,1199.0,MARINASIDE CRES,V6Z 2Y2,"STRATA LOT 78, PLAN LMS3903, DISTRI","CT LOT FC, NEW WESTMINSTER LAND DIS","TRICT, TOGETHER WITH AN INTEREST IN", THE COMMON PROPERTY IN PROPORTION ,TO THE UNIT ENTITLEMENT OF THE STRA,1397000.0,414000.0,2020.0,1582000.0,414000.0,1999.0,1999.0,,30,1.811
85627,008-782-661,LAND,255596020000,25559602,RT-4,Two Family Dwelling,,7,12818,264A,,727.0,TEMPLETON DR,V5L 4N8,BLOCK 7  PLAN 12818  DISTRICT LOT 2,64A  NEW WESTMINSTER,,,,26107000.0,0.0,2020.0,29936000.0,0.0,,,,14,26.107
12506,007-352-123,LAND,688070290000,68807029,RS-5,One Family Dwelling,21,110,VAP2675,540,,2765.0,15TH AVE W,V6K 2Z7,LOT 21  BLOCK 110  PLAN VAP2675  DI,STRICT LOT 540  NEW WESTMINSTER,,,,1875000.0,1190000.0,2020.0,2130000.0,1032000.0,2017.0,2017.0,,2,3.065
120326,019-101-546,STRATA,170747080021,17074708,C-2,Commercial,21,,LMS1738,526,307,488.0,40TH AVE W,V5Y 2R4,LOT 21  PLAN LMS1738  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 215/1000,0 SHARE IN COM PROP THEREIN.,,,355000.0,130000.0,2020.0,393000.0,134000.0,1994.0,1994.0,,9,0.485
50253,014-313-081,LAND,596270130000,59627013,RS-1,One Family Dwelling,21,,VAP1741,THSL,,2411.0,GEORGIA ST E,V5K 2J4,LOT 21  PLAN VAP1741  DISTRICT LOT ,"THSL  NWD GROUP 1, OF LOT 77.",,,,1079000.0,278000.0,2020.0,1217000.0,271000.0,1928.0,2000.0,,20,1.357
21251,011-308-559,LAND,633280420000,63328042,RS-1,One Family Dwelling,14,59,VAP3517,THSL,,2956.0,3RD AVE E,V5M 1H8,LOT 14  BLOCK 59  SECTION 31  PLAN ,VAP3517  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1167000.0,37700.0,2020.0,1316000.0,40700.0,1942.0,1942.0,,21,1.2047
100233,006-573-118,STRATA,636124330129,63612433,FCCDD,Comprehensive Development,129,,VAS1343,FC,503,1508.0,MARINER WALK,V6J 4X9,LOT 129  PLAN VAS1343  DISTRICT LOT, FC  NEW WESTMINSTER UNDIV 784/1265,59 SHARE IN COM PROP THEREIN.,,,280000.0,159000.0,2020.0,356000.0,164000.0,1984.0,1984.0,,7,0.439
159495,030-426-162,STRATA,170825850235,17082585,CD-1 (577),,235,,EPS4185,311,1705,8189.0,CAMBIE ST,V6P 0G6,LOT 235  PLAN EPS4185  DISTRICT LOT," 311  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,553000.0,335000.0,2020.0,626000.0,337000.0,2017.0,2017.0,,12,0.888
158293,009-319-727,LAND,278810550000,27881055,RS-1,One Family Dwelling,16,72,VAP10684,,,2731.0,KEMPTON PL,V5S 2A7,LOT 16  BLOCK 72  PLAN VAP10684  NE,W WESTMINSTER DISTRICT LOT FRASERVI,EW.,,,1400000.0,32100.0,2020.0,1566000.0,31900.0,1962.0,1962.0,,25,1.4321
112414,017-962-773,STRATA,126614070033,12661407,DD,Comprehensive Development,33,,LMS585,541,908,828.0,DRAKE ST,V6Z 2P2,LOT 33  PLAN LMS585  DISTRICT LOT 5,41  NEW WESTMINSTER UNDIV 85/4973 S,HARE IN PROP THEREIN.,,,485000.0,227000.0,2020.0,487000.0,231000.0,1992.0,1992.0,,29,0.712
21314,014-572-222,LAND,702277310000,70227731,RS-1,One Family Dwelling,31,2,VAP1535,THSL,,2849.0,24TH AVE E,V5R 1E5,LOT 31  BLOCK 2  SECTION 47  PLAN V,AP1535  DISTRICT LOT THSL  NWD PART, NE 1/4.,,,1163000.0,43700.0,2020.0,1249000.0,44300.0,1959.0,1965.0,,22,1.2067
183440,011-586-681,LAND,698067700000,69806770,RS-1,One Family Dwelling,26,7,VAP4371,139,,2832.0,21ST AVE W,V6L 1K6,LOT 26  BLOCK 7  PLAN VAP4371  DIST,RICT LOT 139  NWD OF LOT 1 & 2.,,,,1882000.0,261000.0,2020.0,2061000.0,259000.0,1992.0,1992.0,,4,2.143
211960,030-691-711,STRATA,124802880151,12480288,CD-1 (521),Comprehensive Development,151,,EPS5056,526,707,7128.0,ADERA ST,V6P 0H6,LOT 151  PLAN EPS5056  DISTRICT LOT, 526  NWD  BCAGROUP 1 TOGETHER WITH, AN INTEREST IN THE COMMON PROPERTY, IN PROPORTION TO THE UNIT ENTITLEM,ENT OF THE STRATA LOT AS SHOWN ON F,994000.0,274000.0,2020.0,388643.0,743233.0,,,,10,1.268
178708,030-889-308,STRATA,606162930536,60616293,CD-1 (593),,536,,EPS5890,FC,2815,89.0,NELSON ST,,LOT 536  PLAN EPS5890  DISTRICT LOT, FC  NWD  BCAGROUP 1 TOGETHER WITH ,AN INTEREST IN THE COMMON PROPERTY ,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,995000.0,252000.0,2020.0,,,,,,26,1.247
164654,024-234-907,STRATA,134604770135,13460477,CD-1 (369),Comprehensive Development,135,,LMS3440,541,909,933.0,SEYMOUR ST,V6B 6L6,"STRATA LOT 135, PLAN LMS3440, DISTR","ICT LOT 541, GROUP 1, NEW WESTMINST","ER LAND DISTRICT, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,404000.0,200000.0,2020.0,435000.0,205000.0,1998.0,1998.0,,29,0.604
201512,024-707-546,STRATA,590118940371,59011894,CD-1 (409),Comprehensive Development,371,,LMS4107,185,2718,1128.0,HASTINGS ST W,V6E 4R5,LOT 371  PLAN LMS4107  DISTRICT LOT, 185  NEW WESTMINSTER UNDIV 353/325,467 SHARE IN COM PROP THEREIN.,,,332000.0,82900.0,2020.0,282000.0,84300.0,1999.0,2000.0,,26,0.4149
125999,028-632-672,STRATA,587267650002,58726765,RM-3A,Multiple Family Dwelling,2,,BCS4159,184,,2367.0,PANDORA ST,V5L 1N8,LOT 2  PLAN BCS4159  DISTRICT LOT 1,"84  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,998000.0,231000.0,2020.0,1086000.0,222000.0,2011.0,2011.0,,14,1.229
1598,015-741-656,LAND,609117570000,60911757,RM-5B,Multiple Family Dwelling,23,36,VAP92,185,,1255.0,PENDRELL ST,V6E 1L7,LOT 23  BLOCK 36  PLAN VAP92  DISTR,"ICT LOT 185  NWD PART W 1/2, LOT 23",", BLOCK 36, PLAN VAP92, PART E 1/2,"," DISTRICT LOT 185, NEW WESTMINSTER ","LAND DISTRICT, LOT 24, BLOCK 36, PL",29720000.0,17377000.0,2020.0,35664000.0,11433000.0,1965.0,1965.0,,27,47.097
172462,015-738-752,LAND,602115850000,60211585,C-6,Commercial,22,43,VAP92,185,,1401.0,ROBSON ST,,"LOT 22, BLOCK 43, PLAN VAP92, PART ","E1/2, DISTRICT LOT 185, NEW WESTMIN",STER LAND DISTRICT,,,13920000.0,0.0,2020.0,15735000.0,0.0,,,,27,13.92
96373,019-082-037,STRATA,156602510125,15660251,DD,Comprehensive Development,125,,LMS1716,541,,863.0,HAMILTON ST,V6B 2R7,"STRATA LOT 125, PLAN LMS1716, DISTR","ICT LOT 541, NEW WESTMINSTER LAND D","ISTRICT, TOGETHER WITH AN INTEREST ",IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,1654000.0,136000.0,2020.0,1481000.0,143000.0,1994.0,1994.0,,29,1.79
182379,010-107-941,LAND,243819380000,24381938,RS-1,One Family Dwelling,18,15,VAP8363,,,7766.0,JASPER CRES,V5P 3S9,LOT 18  BLOCK 15  PLAN VAP8363  NEW, WESTMINSTER DISTRICT LOT FRASERVIE,W.,,,1197000.0,21200.0,2020.0,1420000.0,20700.0,1950.0,1950.0,,25,1.2182
177661,003-912-841,STRATA,135730060028,13573006,CD-1 (65),Comprehensive Development,28,,VAS368,526,305,4900.0,CARTIER ST,V6M 4H2,LOT 28  PLAN VAS368  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1728/1014,72 SHARE IN COM PROP THEREIN.,,,1018000.0,319000.0,2020.0,1391000.0,334000.0,1976.0,1976.0,,8,1.337
204238,029-650-607,STRATA,830170400268,83017040,CD-1 (523),Comprehensive Development,268,,EPS3032,311,2403,489.0,INTERURBAN WAY,V5X 0C7,LOT 268  PLAN EPS3032  DISTRICT LOT," 311  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,397000.0,181000.0,2020.0,501000.0,181000.0,2015.0,2015.0,,18,0.578
40148,013-272-071,LAND,733077770000,73307777,RS-5,One Family Dwelling,13,18,VAP2977,526,,2351.0,35TH AVE W,V6M 1J7,LOT 13  BLOCK 18  PLAN VAP2977  DIS,TRICT LOT 526  NWD OF LOT 3.,,,,3059000.0,549000.0,2020.0,3551000.0,569000.0,1990.0,1990.0,,5,3.608
43049,023-598-743,STRATA,126606020049,12660602,DD,Comprehensive Development,49,,LMS2586,541,503,1010.0,HOWE ST,V6Z 1P5,LOT 49  PLAN LMS2586  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 49/7846 ,SHARE IN COM PROP THEREIN.,,,330000.0,138000.0,2020.0,355000.0,140000.0,1996.0,1996.0,,29,0.468
1760,019-183-160,STRATA,156602080279,15660208,DD,Comprehensive Development,279,,LMS1863,541,,868.0,HAMILTON ST,V6B 6A2,LOT 279  PLAN LMS1863  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 765/127,484 SHARE IN COM PROP THEREIN.,,,925000.0,116000.0,2020.0,784000.0,119000.0,1995.0,1995.0,,29,1.041
108606,026-684-233,STRATA,170690030094,17069003,C-2,Commercial,94,,BCS1871,526,508,3228.0,TUPPER ST,V5Z 4S7,LOT 94  PLAN BCS1871  DISTRICT LOT ,526  NEW WESTMINSTER GROUP 1.,,,,424000.0,213000.0,2020.0,474000.0,218000.0,2006.0,2006.0,,9,0.637
181145,015-078-981,LAND,646296770000,64629677,RS-1,One Family Dwelling,22,9,VAP1314,THSL,,3289.0,7TH AVE E,V5M 1V8,LOT 22  BLOCK 9  SECTION 37  PLAN V,AP1314  DISTRICT LOT THSL  NWD PART, N 1/2.,,,1204000.0,271000.0,2020.0,1349000.0,268000.0,1994.0,1994.0,,21,1.475
122103,006-710-816,LAND,70792570000,7079257,RS-5,One Family Dwelling,10,2,VAP5347,315,,6537.0,MACDONALD ST,V6N 1E9,LOT 10  BLOCK 2  PLAN VAP5347  DIST,RICT LOT 315  NEW WESTMINSTER,,,,2786000.0,205000.0,2020.0,3360000.0,221000.0,1927.0,1980.0,,6,2.991
102660,023-525-436,STRATA,161612030038,16161203,CD-1 (297),Comprehensive Development,38,,LMS2518,FC,1005,1201.0,MARINASIDE CRES,V6Z 2V2,"STRATA LOT 38, PLAN LMS2518, DISTRI","CT LOT FC, NEW WESTMINSTER LAND DIS","TRICT, TOGETHER WITH AN INTEREST IN", THE COMMON PROPERTY IN PROPORTION ,TO THE UNIT ENTITLEMENT OF THE STRA,1104000.0,384000.0,2020.0,1405000.0,388000.0,1996.0,1996.0,,30,1.488
121746,018-941-311,STRATA,604157080035,60415708,DD,Comprehensive Development,35,,LMS1588,,1001,930.0,CAMBIE ST,V6B 5X6,LOT 35  PLAN LMS1588  NWD DISTRICT ,"LOT FALSE CREEK, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,429000.0,288000.0,2020.0,501000.0,294000.0,1994.0,1994.0,,29,0.717
